[2026-02-23 15:55:20 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='noise_pca', pool=20000, tier=1000, strategy='low'
[2026-02-23 16:10:09 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 1000 images. Selectoin meta: {'seed': 0, 'feature_name': 'noise_pca', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 1000, 'subset_strategy': 'low', 'counts': {'pool': 20000, 'low': 1000, 'high': 1000, 'mixed': 1000, 'train': 1000}}
[2026-02-23 16:12:19 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|       dog        | 61.35 | 81.27 |
|      horse       | 62.18 | 85.32 |
|      sheep       | 74.36 | 88.64 |
|       cow        | 65.73 | 81.44 |
|     elephant     | 81.17 | 91.85 |
|       bear       | 79.39 | 89.57 |
|      zebra       |  79.9 | 92.29 |
|     giraffe      | 48.34 | 87.88 |
|     backpack     |  8.16 | 57.68 |
|     umbrella     | 34.13 | 70.63 |
|     handbag      | 10.47 | 14.28 |
|       tie        |  1.05 | 51.27 |
|     suitcase     | 46.94 | 53.38 |
|     frisbee      | 13.89 | 53.67 |
|       skis       |  8.28 | 64.89 |
|    snowboard     | 14.51 | 66.38 |
|   sports ball    |  2.61 | 60.79 |
|       kite       | 30.95 | 52.43 |
|   baseball bat   |  4.49 | 10.45 |
|  baseball glove  | 20.97 | 49.56 |
|    skateboard    |  18.3 | 55.49 |
|    surfboard     | 26.57 | 74.61 |
|  tennis racket   |  6.89 | 49.62 |
|      bottle      | 24.11 |  52.4 |
|    wine glass    | 29.93 | 73.32 |
|       cup        | 17.36 | 24.89 |
|       fork       | 15.24 | 17.27 |
|      knife       |  5.82 |  7.91 |
|      spoon       | 18.08 |  34.0 |
|       bowl       | 12.86 | 16.79 |
|      banana      | 39.53 |  49.9 |
|      apple       | 11.56 | 12.91 |
|     sandwich     | 13.83 | 15.04 |
|      orange      | 23.94 |  27.6 |
|     broccoli     | 15.65 | 16.84 |
|      carrot      | 30.02 | 30.93 |
|     hot dog      | 34.07 | 39.91 |
|      pizza       | 43.45 |  51.9 |
|      donut       | 50.29 | 54.57 |
|       cake       |  47.8 | 69.02 |
|      chair       | 15.46 | 16.79 |
|      couch       | 47.09 | 58.06 |
|   potted plant   |  9.68 |  13.4 |
|       bed        | 48.23 | 60.14 |
|   dining table   | 10.04 | 10.94 |
|      toilet      | 31.13 | 74.76 |
|        tv        | 29.48 | 37.25 |
|      laptop      | 44.03 | 64.47 |
|      mouse       | 21.85 | 46.84 |
|      remote      | 14.32 | 67.12 |
